Entering constructor for: ReviewPal.ReviewPal2013.DrSmellPackage
Entering Initialize() of: ReviewPal.ReviewPal2013.DrSmellPackage
2022-10-09 08:13:45Z : PB = 245805056 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-10-09 08:13:45Z : PB = 245805056 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-10-09 08:13:45Z : PB = 245805056 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-10-09 08:13:45Z : PB = 241639424 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-10-09 08:13:45Z : PB = 241639424 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-10-09 08:13:45Z : PB = 241639424 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-10-09 08:13:45Z : PB = 241639424 : Out  : --------- StyleCop.StyleCopThread.DoWork()
2022-10-09 08:13:45Z : PB = 241639424 : Out  : -------- StyleCop.StyleCopCore.RunWorkerThreads()=True
2022-10-09 08:13:45Z : PB = 241651712 : Out  : ------- StyleCop.StyleCopCore.Analyze()
2022-10-09 08:13:45Z : PB = 241651712 : Out  : ------ StyleCop.StyleCopCore.FullAnalyze()
2022-10-09 08:13:45Z : PB = 241651712 : In   : ------ StyleCop.VisualStudio.AnalysisHelper.AnalyzeComplete(sender=[AnalysisThread], e=[EventArgs])
2022-10-09 08:13:45Z : PB = 241651712 : In   : ------- StyleCop.VisualStudio.AnalysisHelper.AnalyzeCompleteMain(sender=[AnalysisThread], e=[EventArgs])
2022-10-09 08:13:47Z : PB = 233242624 : Out  : ------- StyleCop.VisualStudio.AnalysisHelper.AnalyzeCompleteMain()
2022-10-09 08:13:47Z : PB = 233242624 : Out  : ------ StyleCop.VisualStudio.AnalysisHelper.AnalyzeComplete()
2022-10-09 08:13:47Z : PB = 233242624 : Out  : ----- StyleCop.VisualStudio.AnalysisThread.AnalyzeProc()
ResolveFWLinkAccountManager statusCode is redirect: 'True'
ResolveFWLinkAccountManager resovled fwlink from 'https://go.microsoft.com/fwlink/?LinkID=415837' to 'https://app.vssps.visualstudio.com/'
